#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.015846886860e-01       1.565471787671e-06      -1.191461235180e+00       2.087209032174e-07       4.040656397963e-13       1.010164099491e-12       1.100066655354e-21       2.020328198981e-13      -8.935959263852e-01       2.087209032174e-07       5.960674359273e-01       7.021347156379e-01      -8.935959263852e-01       2.087209127928e-07      -1.191461235349e+00       2.087208986212e-07       1.956651253457e-08       3.333333333333e-01      -1.191461235180e+00       2.087208986358e-07       1.950604421355e-08       3.333333333333e-01 
       7.023090252319e-01       1.567090017099e-06      -1.191461128958e+00       2.089361093532e-07       4.053189011922e-13       1.013297252980e-12       1.105761165774e-21       2.026594505961e-13      -8.935958467182e-01       2.089361093532e-07       5.960986386859e-01       7.021347422440e-01      -8.935958467182e-01       2.089361189582e-07      -1.191461129127e+00       2.089361047427e-07       1.960690401200e-08       3.333333333333e-01      -1.191461128958e+00       2.089361047574e-07       1.950604423023e-08       3.333333333333e-01 
       7.030333617779e-01       1.568708250632e-06      -1.191461195007e+00       2.091513451877e-07       4.065748111698e-13       1.016437027924e-12       1.111479403347e-21       2.032874055849e-13      -8.935958962551e-01       2.091513451877e-07       5.961297037627e-01       7.021347257822e-01      -8.935958962551e-01       2.091513548225e-07      -1.191461195177e+00       2.091513405629e-07       1.964733697388e-08       3.333333333333e-01      -1.191461195007e+00       2.091513405777e-07       1.950604427409e-08       3.333333333333e-01 
       7.061347148550e-01       1.575637001095e-06      -1.191470291235e+00       2.100744566446e-07       4.119845702891e-13       1.029961425723e-12       1.136239496849e-21       2.059922851445e-13      -8.936027184266e-01       2.100744566446e-07       5.962595920091e-01       7.021324519417e-01      -8.936027184266e-01       2.100744664075e-07      -1.191470291407e+00       2.100744519583e-07       1.982089412990e-08       3.333333333333e-01      -1.191470291236e+00       2.100744519740e-07       1.950604422556e-08       3.333333333333e-01 
       7.092360679321e-01       1.582565826832e-06      -1.191485310589e+00       2.109986213097e-07       4.174442276637e-13       1.043610569159e-12       1.161444912626e-21       2.087221138319e-13      -8.936139829421e-01       2.109986213097e-07       5.963863563094e-01       7.021286973209e-01      -8.936139829421e-01       2.109986312017e-07      -1.191485310762e+00       2.109986165614e-07       1.999519897234e-08       3.333333333333e-01      -1.191485310589e+00       2.109986165784e-07       1.950604431258e-08       3.333333333333e-01 
       7.123374210091e-01       1.589494727842e-06      -1.191503462132e+00       2.119233560686e-07       4.229530849826e-13       1.057382712457e-12       1.187099082585e-21       2.114765424913e-13      -8.936275965988e-01       2.119233560686e-07       5.965106650720e-01       7.021241596539e-01      -8.936275965988e-01       2.119233660909e-07      -1.191503462306e+00       2.119233512576e-07       2.017026386770e-08       3.333333333333e-01      -1.191503462132e+00       2.119233512767e-07       1.950604423985e-08       3.333333333333e-01 
       7.154387740862e-01       1.596423704126e-06      -1.191523755386e+00       2.128484916422e-07       4.285110425711e-13       1.071277606428e-12       1.213207097097e-21       2.142555212855e-13      -8.936428165394e-01       2.128484916422e-07       5.966327737518e-01       7.021190865599e-01      -8.936428165394e-01       2.128485017959e-07      -1.191523755562e+00       2.128484867681e-07       2.034609375645e-08       3.333333333333e-01      -1.191523755386e+00       2.128484867896e-07       1.950604426059e-08       3.333333333333e-01 
       7.222516883845e-01       1.611645234899e-06      -1.191574240946e+00       2.148819283930e-07       4.408935133514e-13       1.102233783379e-12       1.272181849388e-21       2.204467566757e-13      -8.936806807096e-01       2.148819283930e-07       5.968938124697e-01       7.021064656556e-01      -8.936806807096e-01       2.148819388393e-07      -1.191574241125e+00       2.148819233782e-07       2.073503988091e-08       3.333333333333e-01      -1.191574240946e+00       2.148819234071e-07       1.950604423530e-08       3.333333333333e-01 
       7.290646026827e-01       1.626867128923e-06      -1.191633073875e+00       2.169170081368e-07       4.535158896797e-13       1.133789724199e-12       1.333439344403e-21       2.267579448398e-13      -8.937248054059e-01       2.169170081368e-07       5.971451273050e-01       7.020917579138e-01      -8.937248054059e-01       2.169170188813e-07      -1.191633074057e+00       2.169170029786e-07       2.112768578959e-08       3.333333333333e-01      -1.191633073875e+00       2.169170030175e-07       1.950604431299e-08       3.333333333333e-01 
       7.358775169810e-01       1.642089386199e-06      -1.191699650237e+00       2.189536620636e-07       4.663804628941e-13       1.165951157235e-12       1.397045420249e-21       2.331902314470e-13      -8.937747376779e-01       2.189536620636e-07       5.973871396652e-01       7.020751143180e-01      -8.937747376779e-01       2.189536731120e-07      -1.191699650423e+00       2.189536567594e-07       2.152403410077e-08       3.333333333333e-01      -1.191699650237e+00       2.189536568110e-07       1.950604424720e-08       3.333333333333e-01 
       7.426904312792e-01       1.657312006726e-06      -1.191773374390e+00       2.209918194996e-07       4.794895131953e-13       1.198723782988e-12       1.463067137254e-21       2.397447565976e-13      -8.938300307924e-01       2.209918194996e-07       5.976202573739e-01       7.020566837794e-01      -8.938300307924e-01       2.209918308575e-07      -1.191773374579e+00       2.209918140466e-07       2.192408778572e-08       3.333333333333e-01      -1.191773374390e+00       2.209918141136e-07       1.950604423685e-08       3.333333333333e-01 
       7.597560398423e-01       1.695444608347e-06      -1.191986403914e+00       2.261034492747e-07       5.134146972974e-13       1.283536743244e-12       1.639502551344e-21       2.567073486487e-13      -8.939898029359e-01       2.261034492747e-07       5.981675112092e-01       7.020034276699e-01      -8.939898029359e-01       2.261034614331e-07      -1.191986404113e+00       2.261034434368e-07       2.294246089000e-08       3.333333333333e-01      -1.191986403914e+00       2.261034435546e-07       1.950604430588e-08       3.333333333333e-01 
       7.768216484054e-01       1.733579489181e-06      -1.192233176614e+00       2.312231335547e-07       5.489240226562e-13       1.372310056641e-12       1.832636559564e-21       2.744620113281e-13      -8.941748824603e-01       2.312231335547e-07       5.986668775499e-01       7.019417357958e-01      -8.941748824603e-01       2.312231465504e-07      -1.192233176821e+00       2.312231273144e-07       2.398413812545e-08       3.333333333333e-01      -1.192233176614e+00       2.312231275005e-07       1.950604430633e-08       3.333333333333e-01 
       7.938872569685e-01       1.771716649229e-06      -1.192506569233e+00       2.363498911937e-07       5.860530249021e-13       1.465132562255e-12       2.043628889679e-21       2.930265124511e-13      -8.943799269246e-01       2.363498911937e-07       5.991233934881e-01       7.018733889710e-01      -8.943799269246e-01       2.363499050642e-07      -1.192506569449e+00       2.363498845327e-07       2.504915458139e-08       3.333333333333e-01      -1.192506569233e+00       2.363498848052e-07       1.950604428000e-08       3.333333333333e-01 
       8.109528655316e-01       1.809856088490e-06      -1.192800792245e+00       2.414828897834e-07       6.248373206885e-13       1.562093301721e-12       2.273692014818e-21       3.124186603442e-13      -8.946005941838e-01       2.414828897834e-07       5.995414455116e-01       7.017998345770e-01      -8.946005941838e-01       2.414829045670e-07      -1.192800792471e+00       2.414828826833e-07       2.613754087968e-08       3.333333333333e-01      -1.192800792245e+00       2.414828830606e-07       1.950604426417e-08       3.333333333333e-01 
       8.280184740947e-01       1.847997806963e-06      -1.193111146691e+00       2.466214237355e-07       6.653126079455e-13       1.663281519864e-12       2.524092378201e-21       3.326563039727e-13      -8.948333600186e-01       2.466214237355e-07       5.999248652850e-01       7.017222473537e-01      -8.948333600186e-01       2.466214394714e-07      -1.193111146927e+00       2.466214161773e-07       2.724932374923e-08       3.333333333333e-01      -1.193111146691e+00       2.466214166782e-07       1.950604426732e-08       3.333333333333e-01 
       8.698950525055e-01       1.941601822685e-06      -1.193917682964e+00       2.592503278847e-07       7.720236025183e-13       1.930059006296e-12       3.233162319963e-21       3.860118012592e-13      -8.954382622234e-01       2.592503278847e-07       6.007394214561e-01       7.015206168161e-01      -8.954382622234e-01       2.592503461287e-07      -1.193917683224e+00       2.592503191198e-07       3.007677258597e-08       3.333333333333e-01      -1.193917682965e+00       2.592503200063e-07       1.950604424168e-08       3.333333333333e-01 
       9.117716309164e-01       2.035219562504e-06      -1.194756076108e+00       2.719014959444e-07       8.896597237682e-13       2.224149309421e-12       4.093766384609e-21       4.448298618841e-13      -8.960670570812e-01       2.719014959444e-07       6.014058952332e-01       7.013110222373e-01      -8.960670570812e-01       2.719015169496e-07      -1.194756076394e+00       2.719014858505e-07       3.304552567288e-08       3.333333333333e-01      -1.194756076108e+00       2.719014872442e-07       1.950604430681e-08       3.333333333333e-01 
       9.536482093272e-01       2.128851026419e-06      -1.195598340448e+00       2.845692607811e-07       1.018749013069e-12       2.546872532674e-12       5.129019289597e-21       5.093745065347e-13      -8.966987553362e-01       2.845692607811e-07       6.019552500094e-01       7.011004600361e-01      -8.966987553362e-01       2.845692848127e-07      -1.195598340761e+00       2.845692492300e-07       3.615579580306e-08       3.333333333333e-01      -1.195598340448e+00       2.845692512584e-07       1.950604421459e-08       3.333333333333e-01 
       9.955247877380e-01       2.222496214431e-06      -1.196426489197e+00       2.972492722959e-07       1.159819513065e-12       2.899548782663e-12       6.364276796297e-21       5.799097565326e-13      -8.973198668976e-01       2.972492722959e-07       6.024111480793e-01       7.008934269097e-01      -8.973198668976e-01       2.972492996311e-07      -1.196426489537e+00       2.972492591532e-07       3.940774524763e-08       3.333333333333e-01      -1.196426489197e+00       2.972492619499e-07       1.950604425637e-08       3.333333333333e-01 
       1.037401366149e+00       2.316155126539e-06      -1.197229360704e+00       3.099381956907e-07       1.313399413665e-12       3.283498534162e-12       7.827240775990e-21       6.566997068323e-13      -8.979220205283e-01       3.099381956907e-07       6.027918426023e-01       7.006927132706e-01      -8.979220205283e-01       3.099382266189e-07      -1.197229361074e+00       3.099381808161e-07       4.280149304383e-08       3.333333333333e-01      -1.197229360704e+00       3.099381845205e-07       1.950604423207e-08       3.333333333333e-01 
       1.079277944560e+00       2.409827762744e-06      -1.198000481008e+00       3.226334937085e-07       1.480017224286e-12       3.700043060716e-12       9.548064967042e-21       7.400086121432e-13      -8.985003607557e-01       3.226334937085e-07       6.031115290127e-01       7.004999376098e-01      -8.985003607557e-01       3.226335285313e-07      -1.198000481407e+00       3.226334769558e-07       4.633712393816e-08       3.333333333333e-01      -1.198000481008e+00       3.226334817132e-07       1.950604425057e-08       3.333333333333e-01 
       1.192317736711e+00       2.662752076570e-06      -1.199902926698e+00       3.569205454314e-07       1.999011561433e-12       4.997528903583e-12       1.574538770198e-20       9.995057807167e-13      -8.999271950238e-01       3.569205454314e-07       6.037496430034e-01       7.000243389899e-01      -8.999271950238e-01       3.569205923673e-07      -1.199902927186e+00       3.569205228308e-07       5.658991489752e-08       3.333333333333e-01      -1.199902926698e+00       3.569205312035e-07       1.950604422974e-08       3.333333333333e-01 
       1.305357528862e+00       2.915776391337e-06      -1.201543742142e+00       3.912161875279e-07       2.627268898484e-12       6.568172246211e-12       2.481358668240e-20       1.313634449242e-12      -9.011578066063e-01       3.912161875279e-07       6.041659272622e-01       6.996141492241e-01      -9.011578066063e-01       3.912162491002e-07      -1.201543742726e+00       3.912161578504e-07       6.787751516948e-08       3.333333333333e-01      -1.201543742142e+00       3.912161710583e-07       1.950604423317e-08       3.333333333333e-01 
       1.418397321013e+00       3.168900707045e-06      -1.202949254021e+00       4.255076081526e-07       3.375210428419e-12       8.438026071048e-12       3.765257704704e-20       1.687605214210e-12      -9.022119405161e-01       4.255076081526e-07       6.044446209761e-01       6.992627866413e-01      -9.022119405161e-01       4.255076871220e-07      -1.202949254712e+00       4.255075700498e-07       8.019991303896e-08       3.333333333333e-01      -1.202949254021e+00       4.255075894304e-07       1.950604421835e-08       3.333333333333e-01 
       1.531437113164e+00       3.422125023694e-06      -1.204154795070e+00       4.597884126045e-07       4.253270562796e-12       1.063317640699e-11       5.533390792810e-20       2.126635281398e-12      -9.031160963027e-01       4.597884126045e-07       6.046350591212e-01       6.989614180580e-01      -9.031160963028e-01       4.597885119694e-07      -1.204154795875e+00       4.597883646093e-07       9.355687163168e-08       3.333333333333e-01      -1.204154795070e+00       4.597883916169e-07       1.950604422224e-08       3.333333333333e-01 
       1.644476905315e+00       3.675449341284e-06      -1.205194297228e+00       4.940556195698e-07       5.271897413047e-12       1.317974353262e-11       7.911601824987e-20       2.635948706524e-12      -9.038957229212e-01       4.940556195698e-07       6.047672662845e-01       6.987015604890e-01      -9.038957229213e-01       4.940557425654e-07      -1.205194298156e+00       4.940555600953e-07       1.079480454223e-07       3.333333333333e-01      -1.205194297228e+00       4.940555963018e-07       1.950604428904e-08       3.333333333333e-01 
       1.757516697466e+00       3.928873659815e-06      -1.206097098275e+00       5.283080607225e-07       6.441552735891e-12       1.610388183973e-11       1.104595532663e-19       3.220776367946e-12      -9.045728237060e-01       5.283080607225e-07       6.048601547107e-01       6.984758794887e-01      -9.045728237061e-01       5.283082108210e-07      -1.206097099334e+00       5.283079880628e-07       1.233730141416e-07       3.333333333333e-01      -1.206097098275e+00       5.283080351569e-07       1.950604422994e-08       3.333333333333e-01 
       1.998784773509e+00       4.470107928261e-06      -1.207673066158e+00       6.013656295361e-07       9.491511181421e-12       2.372877795355e-11       2.106919635825e-19       4.745755590711e-12      -9.057547996184e-01       6.013656295362e-07       6.049779593473e-01       6.980819329442e-01      -9.057547996185e-01       6.013658501862e-07      -1.207673067527e+00       6.013655224765e-07       1.597515042818e-07       3.333333333333e-01      -1.207673066158e+00       6.013655989973e-07       1.950604430183e-08       3.333333333333e-01 
       2.240052849552e+00       5.011797752011e-06      -1.208904988896e+00       6.743595633938e-07       1.337928372260e-11       3.344820930650e-11       3.733331256481e-19       6.689641861299e-12      -9.066787416721e-01       6.743595633939e-07       6.050350218787e-01       6.977740035588e-01      -9.066787416722e-01       6.743598737856e-07      -1.208904990615e+00       6.743594124538e-07       2.008331482511e-07       3.333333333333e-01      -1.208904988896e+00       6.743595277655e-07       1.950604425995e-08       3.333333333333e-01 
       2.481320925595e+00       5.553943131064e-06      -1.209903715704e+00       7.472964907431e-07       1.820721748386e-11       4.551804370964e-11       6.239115504120e-19       9.103608741928e-12      -9.074277867782e-01       7.472964907433e-07       6.050618407900e-01       6.975243790239e-01      -9.074277867785e-01       7.472969123567e-07      -1.209903717813e+00       7.472962852757e-07       2.466139688380e-07       3.333333333333e-01      -1.209903715704e+00       7.472964498795e-07       1.950604431265e-08       3.333333333333e-01 
       2.722589001638e+00       6.096544065422e-06      -1.210740586620e+00       8.201828797991e-07       2.407794457464e-11       6.019486143660e-11       9.941763636277e-19       1.203897228732e-11      -9.080554399649e-01       8.201828797993e-07       6.050730040363e-01       6.973152243257e-01      -9.080554399652e-01       8.201834363988e-07      -1.210740589158e+00       8.201826079888e-07       2.970905222997e-07       3.333333333333e-01      -1.210740586620e+00       8.201828335212e-07       1.950604423393e-08       3.333333333333e-01 
       2.963857077681e+00       6.639600555084e-06      -1.211462455505e+00       8.930242635380e-07       3.109438143106e-11       7.773595357765e-11       1.522798413478e-18       1.554719071553e-11      -9.085968416291e-01       8.930242635384e-07       6.050758884585e-01       6.971348259949e-01      -9.085968416296e-01       8.930249811668e-07      -1.211462458512e+00       8.930239123979e-07       3.522597866801e-07       3.333333333333e-01      -1.211462455505e+00       8.930242116306e-07       1.950604422499e-08       3.333333333333e-01 
